decade,hero,heroic,heroism,valiant,gallant,brave,bravery,loyal,faithful,decorated,medal,medaled,honored,saved,rescued,rescue,carrier,messenger,message,dispatch,homing,military,army,navy,wartime,service,duty,war,feat,record,menace,nuisance,pest,vermin,infestation,infest,filthy,filth,dirty,dirt,diseased,disease,germ,plague,unsanitary,contaminated,droppings,waste,mess,soiled,exterminate,eliminate,cull,poison,control,hazard,problem,swarm,rat,flying,population,invasion,overrun,squab,pie,roasted,roast,cooked,baked,recipe,dish,stew,broiled,grilled,delicacy,feast,dinner,supper,poultry,egg,farm,farmer,racing,race,racer,fancier,loft,club,flight,flying,show,champion,prize,trained,training,breeder,breeding,raising,shoot,shooting,shot,hunt,hunter,hunting,kill,killed,killing,gun,rifle,trap,passenger,extinct,extinction
1880-1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,26.1875,0.6875,0.0,0.0,34.5,0.0,0.875,0.0,0.0,0.875,0.0,0.0,0.0,5.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.375,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,1.6875,21.375,0.0,2.0625,1.625,24.3125,19.9375,7.375,27.25,5.3125,7.8125,0.0,0.0,0.0,0.0,0.0,15.4375,100.875,8.9375,0.5,0.0,0.0,0.0,0.9375,1.0625,9.8125,0.8125,2.375,0.0,0.0,0.0
1890-1899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.3125,0.6875,0.0,49.875,6.0,17.5625,6.375,17.375,1.75,1.3125,3.875,0.0,9.0625,0.0,6.8125,0.5625,9.0625,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.4375,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4375,0.875,0.0,0.0,1.0,4.5,0.0,1.125,0.0,24.6875,13.9375,6.0,51.25,3.625,8.8125,1.75,1.1875,0.0,0.0,0.0,9.8125,48.5625,7.125,0.5625,0.0,0.0,1.9375,4.8125,0.0,8.6875,0.875,2.1875,0.0,0.0,0.0
1900-1909,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,1.625,12.6875,1.875,2.9375,0.0,9.0625,0.0,2.375,0.9375,0.0,1.3125,0.0,0.0,0.0,9.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.125,0.8125,0.0,0.0,0.5,6.9375,0.0,2.5625,0.9375,5.4375,6.625,2.25,20.125,0.0,2.875,0.0,0.0,1.75,0.0,0.0,13.8125,55.3125,9.75,0.0,0.0,0.0,2.0,5.625,2.1875,4.5625,0.0,3.5625,3.75,1.75,0.0
1910-1919,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,50.75,2.1875,24.0625,0.8125,12.9375,5.0625,2.8125,4.4375,0.0,6.0,0.0,9.625,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.75,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,31.625,0.8125,0.0,0.0,0.0,12.0,0.0,1.1875,0.0,0.0,15.8125,0.0,25.0,0.8125,4.875,0.0,0.0,0.0,0.0,0.0,1.625,1.875,0.0,0.0,0.0,0.0,2.25,0.875,0.0,0.3125,0.0,1.6875,0.0,0.0,0.0
1920-1929,7.125,0.0,0.0,0.0,0.0,0.0,1.375,0.0,0.0,0.9375,1.1875,0.0,0.0,11.1875,0.6875,2.875,109.6875,1.5,15.6875,1.0,40.625,0.0,17.5,11.6875,0.0,6.8125,0.0,23.125,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0625,0.0,0.6875,11.5,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.9375,0.0,0.0,0.0,0.0,0.5625,0.0,6.625,1.6875,1.0625,0.0,30.0,29.25,0.0,17.375,0.6875,8.75,24.0,11.5,20.6875,0.0,6.3125,0.625,4.125,0.0,0.0,0.0,9.75,8.0625,8.875,7.125,1.125,1.8125,2.1875,7.4375,0.875,3.5,0.0,2.625,0.9375,0.0,0.0
1930-1939,7.8125,0.0,0.875,0.0,0.0625,0.0,0.0,0.0,0.0,3.25,8.4375,0.0,6.25,0.875,4.125,5.625,199.125,26.5,21.625,5.75,93.8125,0.0,47.875,7.0625,0.75,10.875,5.25,42.0625,3.3125,11.75,0.0,14.5625,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9375,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9375,0.4375,0.0,2.625,0.0,0.0,16.25,0.0,0.0,0.0,0.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,5.25,0.0,8.125,0.0,1.0,0.875,33.25,41.9375,1.625,12.375,9.3125,11.6875,15.625,16.25,44.6875,2.0625,19.875,0.5625,5.3125,0.0,0.0,1.5,7.75,0.0625,4.5,4.375,7.125,0.4375,8.5625,32.5625,1.25,1.3125,1.625,0.0,11.0,0.0,0.0
1940-1949,7.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0625,0.8125,5.3125,0.0,2.375,0.9375,1.8125,0.0,113.8125,4.0,11.5,0.0,66.0625,1.625,89.75,4.0625,0.0,5.625,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,4.0625,11.9375,0.0,3.0,0.0,0.125,4.125,0.0,0.0,0.0,0.375,0.6875,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5625,9.375,0.0,0.0,19.4375,10.875,0.75,7.75,1.625,6.6875,12.0,4.125,9.375,1.0,6.3125,3.75,5.8125,3.75,5.5625,0.0,14.3125,0.9375,0.5,0.0,0.9375,0.0,17.8125,1.625,2.8125,0.0,1.625,1.9375,0.3125,0.0,0.0
1950-1959,4.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.9375,1.0625,0.0,0.0,25.3125,1.3125,3.5,0.0,21.625,1.5,22.625,0.5625,0.0,1.875,1.5625,6.375,0.0,0.5,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,0.0,2.4375,0.0,0.0,0.0,1.375,0.0,0.0,0.0,1.375,0.0,0.0,0.75,0.0,3.25,0.0,0.0,1.375,0.0,0.0,0.0,0.6875,9.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,4.1875,0.0,4.0,6.375,10.25,1.1875,11.9375,0.9375,2.25,3.625,1.375,18.0625,0.0,1.5625,1.5625,7.3125,0.0,3.0625,0.0,3.0625,6.375,0.125,0.0,1.5625,0.0,4.0,5.875,0.0,0.75,0.0,3.4375,4.5625,0.0,3.6875
1960-1969,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8125,0.75,3.75,0.0,9.6875,0.0,5.4375,0.0,2.75,1.0625,0.0,5.25,0.0,1.375,0.4375,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1875,5.375,0.125,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6875,0.0,5.8125,5.9375,0.0,5.125,0.0,2.625,0.0,2.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,2.9375,0.0,0.0,2.4375,3.8125,0.0,0.0,1.75,0.0,0.0,0.0,0.375,0.0,1.0,4.125,0.0,0.0,0.0,0.0,1.6875,2.4375,2.875,0.0,2.3125,0.0,2.75,2.5,0.4375,0.0,0.75,0.5,0.9375,0.0,0.0
1970-1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0,3.875,0.0,0.0,0.0,12.5625,0.0,5.4375,0.0,0.0,4.125,0.0,6.5,0.0,2.5625,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,5.6875,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.375,0.0,8.25,13.75,0.9375,13.9375,1.8125,1.75,1.1875,0.0,3.1875,0.0,2.125,0.0,0.0,6.375,0.0,0.0,1.875,4.4375,0.0,0.0,0.0,0.0,2.0,1.875,8.5625,0.0,3.375,0.0,5.9375,0.0,0.0
1980-1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.9375,0.0,0.0,0.0,3.75,0.0,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3.5,0.0,0.0,0.0,0.6875,2.3125,0.0,0.0,0.0,0.0,0.0,2.4375,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,1.75,1.75,3.0,0.0,3.75,2.0,0.0,0.0,1.5,0.0,0.0,3.5,2.75,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.875,0.0,0.0,0.0,0.0,0.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,12.1875,4.6875,0.375,0.0,13.0625,1.125,4.6875,0.0,0.0,1.875,0.0,2.5,0.0,2.25,0.0,5.8125,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,0.0,0.0,2.5625,2.875,0.0,1.6875,0.0,0.0,4.0,4.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,2.25,0.0,2.25,0.0,0.0,5.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0625,0.0,0.0,6.375,2.9375,0.0,1.625,0.0,1.5,0.0,3.125,1.1875,1.8125,0.0,2.25,2.8125,0.0,0.0
2000-2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3125,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.375,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
